m/z meas.,RT [min],Area (Max.),Area: B6_1_ML_polar_HILIC_neg_01.raw (F1),Area: B6_2_ML_polar_HILIC_neg_01.raw (F2),Area: B6_3_ML_polar_HILIC_neg_01.raw (F3),Area: B6_4_ML_polar_HILIC_neg_01.raw (F4),Area: FVB_1_ML_polar_HILIC_neg_01.raw (F7),Area: FVB_2_ML_polar_HILIC_neg_01.raw (F8),Area: FVB_3_ML_polar_HILIC_neg_01.raw (F9),Area: FVB_4_ML_polar_HILIC_neg_01.raw (F10)
152.03215,3.205,11340103.9402397,3177199.9078467,4574550.83253374,9514809.94340867,11340103.9402397,10334186.6166379,4738937.90195322,8112170.87880025,10726755.7309042
136.03713,2.584,4885338.05994233,1583745.85367045,2158758.74884115,3257875.98714641,4705558.99380106,4885338.05994233,2261903.01773491,3126181.79856424,3661487.13361455
515.2916,4.701,160406008.97531,77410623.4938905,87666108.2097234,70129609.4299234,47839972.446858,106474211.394351,85680131.2575977,126191494.584122,160406008.97531
515.29165,4.205,21036825.0005725,7531611.81317655,5861877.24971662,8037834.56228889,10642986.1633227,11035001.3385411,9272701.01449871,14110777.7132969,21036825.0005725
499.29706,2.991,45353191.4188717,45353191.4188717,29011777.3534381,29452517.3579684,30610327.7262735,35755006.3404946,21682008.8593486,37442602.8493467,41992994.257936
174.01556,0.946,3537951.70392853,1705078.25941399,1591264.53354801,3097178.72210263,3537951.70392853,2038467.5684545,1723377.37352855,2803287.28795639,2975792.66777275
190.01046,2.223,12019485.7944718,6365835.03781107,7773224.88353603,8607677.53088628,12019485.7944718,6515524.53005732,7872559.13838039,8562822.95431364,9492068.34467675
255.11054,0.63,18073656.6436359,18073656.6436359,2012280.1571066,2588517.1531376,2462620.8522861,1902946.99136165,3768941.85145287,2715903.47421781,1999418.1483486
280.04619,2.499,32197699.521345,9610125.79725854,15654589.2325082,23118319.9496141,28505412.3145706,16571217.1097903,17300647.5935717,21867260.4374969,32197699.521345
189.99274,0.563,992203.572664606,316007.640099192,294057.175663435,784699.378389596,992203.572664606,317413.66143124,461514.254550115,529724.585627867,268384.86936452
213.00895,0.75,1112008.48836516,864835.026463288,568668.294046953,1067301.03331466,1112008.48836516,505825.231545657,464018.001483524,871936.677910008,920122.759045642
180.06278,6.619,61904686.1090522,23031481.0331569,26992663.5021862,45340590.5088983,55117610.3285967,30731853.7448653,27368289.6590947,36922228.2726591,61904686.1090522
268.0808,4.137,11018560.241891,2180729.98807019,3495797.28805426,7592290.40663429,11018560.241891,6970288.62652746,4639392.33238068,7048657.36060852,10321103.7243128
224.03533,0.615,14145409.6026977,1693521.46597826,836150.76218997,688592.312687038,903528.978215358,756710.34367822,1069522.12716929,991368.403758245,800691.233029521
244.0695,2.497,50987422.7765526,14428066.4099372,24141048.797894,35670037.169169,42642721.3360602,25310813.8681469,25725034.3709115,33952065.8648158,50987422.7765526
286.07254,0.626,2558002.3163063,305447.581487377,129200.264525624,170970.597995979,100470.439350391,161860.822953534,214647.428006824,184822.462804562,148518.943679042
242.04574,0.617,11184527.3225471,724752.44138539,573738.76819737,401849.220428926,539623.161920272,426593.863972861,675426.200965166,583771.87393472,399192.513431516
245.08162,0.631,3153110.73106798,3153110.73106798,366459.90212351,450442.55171919,393513.178103333,298408.426156939,605502.597172048,297713.679345972,354227.218989597
290.03104,0.9,3318890.73296372,263526.655730048,138507.415504498,128880.311488208,140538.76189963,150041.585757314,151073.136790228,171362.759691909,140459.484457194
1324.33572,0.589,3941349.00567222,152550.135027189,23733.7803529369,28422.2294009726,44398.3146148408,33987.1897418977,45697.0465115815,28426.8149666532,23348.1678778245
1398.35542,0.592,3517358.57041164,81732.3006788353,25966.6574069703,25641.185085511,85459.1222098308,77177.4599146954,55294.334877998,74215.2598437846,26664.4302535047
244.04002,0.661,3710842.37355943,3710842.37355943,917328.16554401,1057258.97774581,1231806.6588356,643387.728116706,1091873.93495745,979354.717610223,1125659.30928568
280.01788,0.945,4054015.04752858,2350347.06747317,2379151.22783624,4006440.78029024,4054015.04752858,2887351.07635845,2435613.41126904,3672999.14047336,3482397.0203168
582.14794,0.602,4461785.4265596,702122.750044406,229079.995933752,279245.789489663,284887.763282499,257870.086158891,320811.537123861,345189.812141853,260022.880237161
228.00317,2.019,4514949.74049561,4514949.74049561,1142960.58638303,747632.432091822,594144.05573894,592299.621926309,700701.908147797,647881.065085295,523935.323706166
650.0962,0.63,4651759.28430992,256133.487051848,162295.858302594,111911.875122726,148003.650282971,133557.316463527,273370.387966011,87632.0823597208,80782.7101737238
470.02128,0.946,953548.882173836,315009.686385038,330410.976741628,792070.991952579,953548.882173836,474314.551683251,359777.487690105,683080.158250372,707894.790469634
289.93674,2.23,4925720.76199051,2304588.99537404,2992876.81028268,3121286.06371787,4925720.76199051,2396952.74617562,2845582.53004539,3271570.3787373,3612703.4501223
1323.33728,0.587,5221204.1418113,223231.128996156,22650.2430676193,59424.6499020757,35422.1112902605,42949.0205821164,101373.306454403,96861.031601878,53746.2787724849
516.29506,4.209,5229729.39164203,1836507.05869759,1596124.99323474,2042464.1804871,2574960.38218955,2861438.71279997,2191032.14580846,3429692.30414728,5229729.39164203
290.07513,2.502,11204192.5061578,2933322.70757281,5327653.95624443,7640634.55677501,9120451.13969758,5266010.72664756,5345079.12026813,7310365.50597212,11204192.5061578
455.05901,0.664,3674756.6891152,216792.205528435,184012.613515206,138597.630614869,164448.392728552,158051.25129889,272020.897590045,226516.426150903,113655.761915329
436.08937,0.632,3050055.03459529,406105.244076297,258065.338838915,204879.910516646,195433.294759707,290201.901215132,383444.482644679,286360.553627006,197468.299050022
454.29333,1.045,2983663.35227891,288025.504408657,171240.065831614,240817.372064861,135843.031216972,2983663.35227891,211873.82318615,2299653.18540711,1869409.22460296
454.29332,0.938,1037633.07178693,142493.710454772,16184.3465970332,249043.348873696,328481.3262286,932330.700414547,47979.9889988289,918286.460077769,1037633.07178693
272.10686,0.593,1226255.52612065,1226255.52612065,258502.513144994,346231.379828493,345065.590611451,277354.382606494,289428.223364106,340863.343902801,338913.245873855
307.02113,0.905,1446690.07588048,106825.27045012,74058.296204707,57547.4133743568,75475.057056802,66742.1546023611,114787.861122639,81067.8367483904,57847.6169548811
322.05104,0.613,1501014.3848559,1199515.47777099,862323.537773235,861085.900242498,1029185.15906156,1501014.3848559,840253.769565536,828898.997841364,624629.226663433
392.06328,0.651,1541524.89934004,81630.3839927261,50883.5889569834,31664.2128377928,43953.7447319326,29912.1021124447,76911.9397341227,88100.8618886287,40269.6360217392
130.99536,0.514,1592168.30393901,1592168.30393901,378331.628683417,358027.421650409,374103.301848501,337357.402096589,310094.543510768,405714.565020528,312047.672188196
584.12718,0.618,1702945.48401492,162405.06852726,63204.1209102132,25848.6244556867,24534.5005995451,34861.1258450411,146095.245854935,88075.0365418683,40036.799725213
466.31167,0.621,1784518.92107366,1419372.78812383,124820.414798325,93566.5830091694,99823.3111360251,1784518.92107366,119305.233571577,443431.973187457,69333.8949152849
201.06766,0.596,1909836.12128708,1909836.12128708,1228354.90952324,1466119.90836916,1221477.45204624,1300933.64012057,876923.374923556,1203715.43751384,1245667.30978385
226.0144,0.901,3020022.12996855,290327.405170988,158426.166006431,139988.416595116,156393.683170867,146781.811745175,197335.281984719,179246.019951479,201386.844028819
144.00456,0.945,2054533.69792291,969650.615209088,1061210.50156053,1909200.01785697,2054533.69792291,1277024.99795407,1027760.96427185,1802113.47819037,1808181.39460536
510.10826,0.624,2350299.77990791,213531.116922724,117301.900592213,77779.1928335275,134634.888585898,115988.107216686,225682.681665196,195262.197784273,110392.239827966
471.2834,1.042,1006406.08828296,207307.406244863,79964.289888923,66549.3512081325,68857.256363107,1006406.08828296,69960.2613974756,898010.229770477,709552.682188407
203.97183,1.047,2400264.47542858,377914.755314542,2063475.96771042,1266521.39019232,1701021.90339655,749194.108397318,843390.190286555,1751892.43446555,2400264.47542858
330.09251,2.453,2759300.75815744,1236587.82341346,1084013.10593398,511499.242613592,314951.97064197,2759300.75815744,1130856.58820105,1165995.31295719,306902.652080758
529.07771,0.647,2770267.45749811,184883.659712478,119342.669495661,83611.3480452788,111165.562310923,61639.7015458294,217567.771973241,155574.898089723,115951.16954024
522.09026,0.624,5832120.85052861,418628.401255991,219881.742723202,151732.190095702,223136.990860615,281971.438327111,356352.08804417,277935.753328888,203617.265598632
278.0229,0.678,2832623.34879377,377813.435270454,199709.486604354,218609.545794727,202247.084302233,160293.794170799,250171.596948015,201138.55978231,149517.254462939
464.10302,0.617,2900966.36579009,224399.143736971,116239.458025314,97842.7286979475,120516.235216783,95999.8770346641,200348.659061015,153616.616610303,113976.404427265
