m/z meas.,RT [min],Area (Max.),Area: B6_1_ML_polar_HILIC_pos_01.raw (F1),Area: B6_2_ML_polar_HILIC_pos_01.raw (F2),Area: B6_3_ML_polar_HILIC_pos_01.raw (F3),Area: B6_4_ML_polar_HILIC_pos_01.raw (F4),Area: FVB_1_ML_polar_HILIC_pos_01.raw (F7),Area: FVB_2_ML_polar_HILIC_pos_01.raw (F8),Area: FVB_3_ML_polar_HILIC_pos_01.raw (F9),Area: FVB_4_ML_polar_HILIC_pos_01.raw (F10)
129.07909,3.222,14139325.7122494,7437914.10562141,13593135.3783972,7490497.28568127,4494547.53894689,8703803.49197935,14139325.7122494,9860620.80960276,10256782.1808882
137.04768,6.728,3953593.48484764,866804.391567148,2340820.86409211,3837963.20679953,3953593.48484764,1788759.20029054,2327160.46630008,2758016.28170464,1997595.4191718
146.04793,0.803,3753276.80996011,3753276.80996011,1279099.65866297,796680.26213647,720591.963757453,1396999.34891362,604563.271799736,1224453.55057422,1826070.48231595
125.01472,6.575,12377658.9957651,6540983.11474983,6044190.33296829,8844208.79601355,12377658.9957651,5551524.5054168,5108408.97430221,5330411.40893117,5098369.64889775
143.09456,6.62,5003795.78305899,1589197.11288397,2184958.46597888,4438930.86945916,3829135.11628011,3386969.66574843,2888146.22836815,5003795.78305899,2547437.59866792
523.3641,5.07,1613874.04005874,166911.85354716,1309991.73824663,1251103.06567215,965998.724496344,1534990.45417892,1558001.27496112,1613874.04005874,897511.954999484
187.12087,0.914,489408.097936435,73311.2572631591,141947.853197002,98906.3548452887,168851.638885295,129580.650531577,489408.097936435,327050.646068896,93158.9243475531
385.31889,0.636,61354391.8722476,8459545.66551225,22232261.3968549,9782870.0606646,23406759.0291329,19091004.6049696,49457193.0528504,61354391.8722476,14064864.1520017
301.22511,1.442,1534842.64249738,322431.979065636,353440.615660967,1534842.64249738,648916.082706212,104000.183307886,165131.627685242,202055.020933534,189578.732495898
269.30809,1.155,1434392.63554113,16850.3556444818,18815.7697075426,10135.6537306999,7106.67956268645,1434392.63554113,8872.79814165311,108043.673104316,7141.19148536984
297.26656,0.656,3219966.97589458,601857.042996148,1214463.46279922,404905.069964923,1153334.90146931,1037568.71965082,3219966.97589458,3126596.57012596,667951.013312478
243.18332,0.793,3123197.93147035,368468.325323619,1177092.78890038,452427.620276751,1182894.91476782,988620.27089355,3109043.71573861,3123197.93147035,694445.443027968
271.21452,0.636,5167987.76835588,4805164.54476879,2620094.49820007,1506065.75511459,2508095.60039196,1993499.90161123,3678669.12097587,5167987.76835588,1787211.37361756
244.16731,0.636,2262690.21989969,510598.429636492,885040.588204516,481348.772971687,1045069.98254952,811930.046830057,1761536.86443752,2262690.21989969,607658.564619336
226.15676,0.63,52377603.7475153,10122865.8927151,21331526.7207658,10488410.9516387,22889079.2298286,19155195.4871869,42886676.4758128,52377603.7475153,14510725.481719
254.18802,0.632,2609636.82737704,2609636.82737704,670832.890206847,540709.220004328,468087.005808524,401420.917515704,678983.710681491,620969.543416054,516882.645574374
215.15206,0.639,1469560.40682978,473088.102966771,628406.305936577,287362.097347572,768026.300257912,752050.887610845,1424495.86482595,1469560.40682978,640103.617388724
155.03469,6.618,2507435.32479826,755247.275793507,1372980.09687069,2346971.07173724,1943313.18015803,2140172.05811391,1247807.45808176,2507435.32479826,1928891.32491587
122.04813,0.997,179965196.344116,117752882.24412,136199262.987577,128756351.942877,174867864.667797,179965196.344116,150636963.285182,161863939.943598,158880157.272647
213.17279,0.636,1603334.63240931,334000.498487842,519270.334828157,234151.949292262,932529.414420095,786210.548050544,1603334.63240931,1432871.59873635,409664.736975504
171.16219,0.648,3124077.10950889,3124077.10950889,732733.040716675,867024.264360631,843241.876343272,601355.123738387,833331.011737032,646081.683944436,748471.167606299
287.2822,1.623,17807039.6138761,17807039.6138761,6257878.47886891,8505491.69217802,410140.567903427,8079805.51183008,6914261.26845185,133913.113551221,13127362.7024475
287.28221,1.479,6002176.33408035,6002176.33408035,1848687.72733617,2484967.17065858,735787.513753669,2451111.09996475,2272542.80147698,697518.412607703,5551406.84002032
224.14113,0.649,1829234.07816918,877287.556267122,356413.28637473,359459.161682939,215043.043889107,1829234.07816918,161600.533299681,324114.300514394,1149480.05648847
210.16179,0.631,81151373.5052049,13352688.3376345,30325635.8483731,14025484.2809992,34126421.3155915,27270405.8041161,70676662.1163907,81151373.5052049,19630151.7959173
229.08847,7.116,2255702.02446981,392754.732032606,1180792.14970841,1504940.31701431,1817358.8374329,2255702.02446981,917332.678211094,1333975.54660682,991116.417676474
268.08061,4.075,18934759.2222393,3848817.2348674,5391460.26184038,13385917.1245119,18934759.2222393,12307787.2206831,8092146.16310477,11937023.378534,17836366.9820151
117.05804,0.631,1542164.45176769,540289.193336269,855080.645379491,489551.818439834,735204.817722631,839129.96229148,1310414.80355755,1542164.45176769,606566.901579655
136.03852,2.563,33162922.9986239,11196165.5029817,16331573.2984669,25080232.5414386,33162922.9986239,32758401.063235,16211577.7578814,22871769.281567,26793611.3679868
136.03853,4.076,10326978.0725207,2125591.65548769,3159756.01594529,7327189.33588992,10326978.0725207,6824376.69286338,4346516.84249924,6528423.94514134,9994267.97513967
162.14076,0.632,3957014.69204981,753676.086063584,1630953.58611877,795741.465155493,1723416.30558844,1462358.11282009,3282183.04405536,3957014.69204981,1112191.88004283
145.11023,2.124,10167113.5299769,6506715.95321614,4806251.09106015,4161901.19197597,2015294.4078673,6290841.05857273,5916360.88340729,7544807.58565781,10167113.5299769
171.12583,0.649,3172863.86117025,382295.887986509,844251.042024745,513655.865488419,1500145.8428435,1254384.60666992,3172863.86117025,2804265.72403544,948713.643841208
141.079,1.011,1024020.10938366,1024020.10938366,150203.452168892,114578.856180558,142532.993782834,38721.8197178931,171423.964483801,127301.191686758,100260.801983109
131.09472,2.324,3681787.57346974,2152704.09091115,1297885.42247849,683167.100985263,132176.547071004,2706681.06245598,653815.822554298,1976686.16006619,3681787.57346974
161.10512,7.426,18284287.0155046,388577.599926261,4197252.55250092,9838598.0663409,10798732.105246,18284287.0155046,6281098.44775261,6905430.219937,5770180.92010197
227.18841,0.641,76864534.241614,12300415.1479795,28733568.0860477,13127965.3581297,32233398.5694507,25814270.0202061,67272244.913281,76864534.241614,18476509.5692392
177.12657,2.51,3023163.78977251,435169.263818746,3023163.78977251,124110.217107181,937489.574288571,601936.13526569,2213122.56428843,1869805.64005622,1590404.80810512
117.07915,6.629,482700502.829437,151401220.188119,227091670.163332,418216903.53213,357832653.8736,444368698.119349,242497341.51746,482700502.829437,310467815.710056
185.14154,0.643,1345786.94210534,200723.681352471,508782.517008853,252017.37469255,717645.330360442,549029.617839122,1345786.94210534,1314661.61818458,477630.218448718
267.09658,2.455,70226027.0271208,26132020.5610437,21943578.0984086,12563618.8229861,9006751.34435369,70226027.0271208,25278608.3905797,27295339.8383522,8877167.56767537
135.05452,2.139,6285758.22040212,3396196.62614105,3803569.38868209,4878871.2086436,6285758.22040212,5886588.00009246,3271362.29331589,4929949.03319514,4906073.79501633
203.11571,6.809,2162171.88472391,20399.2552193527,708704.039062141,1680146.71416877,1628788.43228163,2162171.88472391,1049732.01386572,1032348.08534863,667656.760786209
169.11028,0.644,1331269.2725942,88692.2396499828,322027.869096143,166708.301965397,574216.023755454,405640.604269887,1331269.2725942,990227.884862175,242953.772606969
248.19859,0.644,13340686.1601326,5860042.73891045,2368682.82147457,3238410.59970478,1984485.74550084,13340686.1601326,2401842.57601866,3881049.23704227,11229598.3094376
297.08937,1.168,6402212.07342389,3933281.82947268,5182876.9114052,5149911.21751268,6402212.07342389,3594026.69140834,6006905.92543116,5822257.91787958,5079929.46709888
495.33245,5.124,8419273.21406892,523821.226934425,6076629.52964319,8419273.21406892,6549391.37242304,7268102.91858831,7672809.13067556,6805115.85441742,4659180.20032108
243.18337,0.629,110494018.553222,20613684.848316,43999344.2851811,21707477.6511558,48861303.4821762,39705704.1995548,89739951.4925204,110494018.553222,30086527.8264221
208.14628,0.638,74235377.7370991,12695340.4036689,28948395.4920843,13844809.8435379,32736585.8917197,26038494.5153499,59586860.0040756,74235377.7370991,19613793.1395189
152.05856,1.311,1774349.4877429,1255000.80266131,1677177.12318103,1404548.00840078,1611564.67801842,1774349.4877429,1419788.44402806,1756471.58822188,1505594.23903124
113.05921,3.273,3000138.31982524,1467893.29409387,2277215.00517619,2458912.14927603,3000138.31982524,2313617.42289142,1917735.81995819,2565897.2216491,2931941.20639876
