m/z meas.,RT [min],Area (Max.),Area: B6_1_ML_nonpolar_RPlipids_neg_01.raw (F1),Area: B6_2_ML_nonpolar_RPlipids_neg_01.raw (F2),Area: B6_3_ML_nonpolar_RPlipids_neg_01.raw (F3),Area: B6_4_ML_nonpolar_RPlipids_neg_01.raw (F4),Area: FVB_1_ML_nonpolar_RPlipids_neg_01.raw (F7),Area: FVB_2_ML_nonpolar_RPlipids_neg_01.raw (F8),Area: FVB_3_ML_nonpolar_RPlipids_neg_01.raw (F9),Area: FVB_4_ML_nonpolar_RPlipids_neg_01.raw (F10)
899.56796,5.464,25917842.9049001,25917842.9049001,18249891.0298352,22708179.2714745,24738798.8302657,21103839.7329964,22336879.851221,22157026.504554,16711319.7328986
893.61494,6.696,2911222.10232172,2911222.10232172,2484117.65517465,1855251.29781362,1924277.45809137,1709422.22246071,1929008.60271693,1888909.43375045,1192153.97169403
875.56779,5.579,122251334.388307,122251334.388307,105703141.443218,111969665.564701,109621667.461975,114768047.984985,112059002.114369,107647050.034287,95875255.8290343
877.5834,6.001,156804159.752823,152911179.17086,134408469.63268,126997694.484752,135092449.404622,156804159.752823,148701505.645508,140336518.006365,125417806.289708
881.61449,6.753,19124675.6640729,9264515.20203474,10273411.0161409,14125966.0459275,13088946.9358256,19124675.6640729,15574584.7823593,16429974.0290958,10750435.5974625
881.61443,6.585,17641626.1189193,13627165.0254014,12286777.0478388,14372603.2731028,15128299.1913483,14932446.7651329,15244735.2424166,17641626.1189193,11753726.1678018
883.63072,6.878,13777370.6296709,11670123.2520441,11428572.2751505,11202691.1230565,11982071.226715,9294343.292018,13777370.6296709,13677341.1825902,11970498.0065717
869.61484,6.803,13019756.1529886,13019756.1529886,9644461.32015713,6605836.12511434,6295042.15769486,9203514.90235723,6788937.15289749,5357559.14296806,4541058.9099182
851.56784,5.947,1189624902.5224,1189624902.5224,1082202929.71775,1019394711.79776,955860917.098999,899458180.89095,1110852518.51815,1018749930.48804,929531324.783347
851.56776,5.697,221424804.97085,202957262.873088,150104469.240735,198883593.753231,175338466.886865,221424804.97085,177372296.929914,176613696.604001,149414739.949337
853.58335,6.103,251716750.770422,186556145.187756,91852041.337639,167864688.533934,139973731.763058,251716750.770422,205170423.22936,191407390.778578,160706474.963265
855.59941,6.563,1150310218.554,1150310218.554,978732139.477799,794819932.859339,785089506.248839,761921412.504412,1029040141.36007,919430423.442018,833152415.590932
857.61469,6.743,137985044.467021,132821236.099859,120842954.951298,137985044.467021,121114327.45826,116705977.682608,122859351.382426,123338958.285648,86369218.5754268
859.63076,7.022,38834009.8765034,33256098.9615093,26064699.6046176,38834009.8765034,30927801.4054404,33280664.9398097,30219307.1167268,31079235.2008569,25352262.7753545
839.56772,5.852,14884419.2982299,8721828.54157452,8533465.50089913,9984560.87531164,12228860.4719443,14884419.2982299,10653408.0667304,9240130.54286859,7765106.68675801
845.61513,6.855,18461920.5096394,18461920.5096394,15359717.1545543,13595284.2842795,12984050.337858,15675670.2922882,11018913.693254,11700827.6332511,8897369.12759779
827.56809,6.061,1231722901.27954,1231722901.27954,1153961135.8838,1077420347.80103,1079670694.48206,1159376209.51005,1154207776.55229,1092928211.40313,972976053.9147
831.59963,6.621,955322929.865175,955322929.865175,857386657.693674,923122226.219217,855940199.955189,897009636.09918,863100751.426335,936932882.568705,885953088.526789
801.55228,5.651,262421984.570771,80974271.6893954,172796401.695766,201591923.040319,209774107.55122,262421984.570771,192504585.702027,189393139.981755,172692699.369954
803.56796,6.127,1310213358.09806,1310213358.09806,1114877365.6021,1285684171.23942,1251299368.47616,1203151317.48084,1135332428.80794,1245919800.96236,1150828859.25464
791.56831,6.264,17191612.7174251,6996938.46974403,6095440.03206226,17191612.7174251,13076138.5566202,11015459.9728085,8670731.09953779,12378854.2746913,5026383.30255928
773.53623,6.464,11520582.7728463,10941460.1639874,10195822.8729792,10187992.3503898,10223242.6366263,9796710.300121,11520582.7728463,7650478.02678729,6877054.59624494
779.58342,7.286,82325963.3929359,82158848.2823185,54612811.6962361,70204175.1522923,55511854.3467215,82325963.3929359,77212480.0660524,71352995.2256201,45028440.7620654
781.59868,7.424,4130502.83766042,2803987.42477017,2343627.82979442,3230274.35148169,2733361.3332308,2424202.29871962,2766373.4147011,4130502.83766042,3827410.39205063
727.55228,7.05,14472000.1251455,8945306.24463136,9505651.92457696,10282523.4152456,10590523.6761755,14472000.1251455,9150179.8513331,9416136.32274373,9331997.44430742
729.56801,7.097,5414712.6379661,4348976.63263939,3608777.98989744,5414712.6379661,3401667.73306856,3288331.01113523,2782135.95915832,3210475.31934214,2801765.62438027
729.56783,7.318,10110553.7099416,9080927.33831031,6340700.01215917,7646927.48102308,7337213.25835732,10110553.7099416,9066679.44385923,7339180.59587895,5173166.53551897
852.57112,5.697,96061236.0415774,90999526.8031101,67803053.8970195,87508017.0704802,77140427.5708903,96061236.0415774,78268652.4630497,77488670.5521294,64103884.1698302
866.51027,4.607,31339167.2878115,31339167.2878115,13250795.9547825,9968517.13983968,14425137.9552213,22158978.3177906,18991591.4927483,15576718.9676947,19106838.1741101
794.51042,4.934,9619332.45400982,7517128.05630304,4016829.73686623,9619332.45400982,5214608.9987342,7444816.92474198,4289670.4175029,7387947.06245746,6023055.19478906
804.58674,7.295,40131333.8134536,37905017.9756068,25199473.9110989,40131333.8134536,25476028.0104931,21418447.9734429,30954974.3665321,29744312.9991289,25493967.2971035
772.52556,5.435,17022432.6595725,13274936.9106268,7104739.34345945,15815239.5033742,15250119.1211558,14248010.1505208,9297621.82069172,17022432.6595725,11150025.7063057
795.57831,6.565,1150709574.80368,1150709574.80368,979559681.372795,795194524.047589,785719096.869899,762049159.218863,1029513359.62728,920767393.417471,833561749.129128
797.59382,7.295,68443421.0342655,68443421.0342655,43289047.8877458,48418101.8853013,44254796.2155926,33468131.2568594,51902165.9135795,50078613.2176835,48923941.2446219
