m/z meas.,RT [min],Area (Max.),Area: B6_1_ML_nonpolar_RPlipids_pos_01.raw (F1),Area: B6_2_ML_nonpolar_RPlipids_pos_01.raw (F2),Area: B6_3_ML_nonpolar_RPlipids_pos_01.raw (F3),Area: B6_4_ML_nonpolar_RPlipids_pos_01.raw (F4),Area: FVB_1_ML_nonpolar_RPlipids_pos_01.raw (F7),Area: FVB_2_ML_nonpolar_RPlipids_pos_01.raw (F8),Area: FVB_3_ML_nonpolar_RPlipids_pos_01.raw (F9),Area: FVB_4_ML_nonpolar_RPlipids_pos_01.raw (F10)
489.41823,5.285,7961624.23669381,7204735.10585614,6219816.05666202,7857399.51933085,6794058.1856962,7961624.23669381,6827621.69187078,6309306.39616953,4725129.40127634
369.28766,0.828,23692782.6424944,21142585.5435845,19890202.5358452,5456915.83282547,4997921.21947215,23692782.6424944,9090165.9803927,11792676.5732152,4489431.78791135
454.30823,8.827,7210091.5947901,5737173.80951571,5740482.85527193,6995109.91279075,7210091.5947901,3743160.31887008,6911072.97167957,6554938.98746323,4977059.98875041
387.20445,1.035,66316058.6232718,269953.723752146,1131601.90401516,66316058.6232718,603318.008034863,225598.467906754,5696056.64279553,4655687.43439274,649832.875764788
534.42339,11.318,7558161.53543714,6196917.71240672,7328362.05482506,7558161.53543714,7510713.97333305,7154790.82359547,4766658.68527302,6875481.83612619,2819674.45412218
408.17714,0.508,1863702.68676133,1057811.70308951,392729.731282558,1207307.57024005,731665.027984948,1863702.68676133,1262447.90396614,983850.466466744,1060634.37703205
978.77141,8.433,1721471.52838333,1221526.59689968,1721471.52838333,525193.127404849,219248.696709922,1163609.14514492,1378114.31466183,1682810.55548866,1321249.62197537
982.80266,8.52,2670463.78713312,1545700.37571771,2630526.10522362,1089944.8383055,1367288.93315494,2161798.71598707,1957194.95996608,2260585.96760791,2541657.17017053
950.73454,9.518,11552820.3588215,6750892.57336877,7884627.63682401,3809796.21357021,3733876.00215326,11552820.3588215,10581547.3643254,5928832.47730178,7577435.04216255
952.74877,9.696,6300034.20360884,4118927.57590898,3374428.61150026,2244777.80224016,2410034.36407617,6300034.20360884,3330421.40182454,3637418.21231282,4060044.80986145
