m/z meas.,RT [min],Area: B6_1_ML_polar_HILIC_neg_01.raw (F1),Area: B6_2_ML_polar_HILIC_neg_01.raw (F2),Area: B6_3_ML_polar_HILIC_neg_01.raw (F3),Area: B6_14_ML_polar_HILIC_neg_01.raw (F4),Area: B6_15_ML_polar_HILIC_neg_01.raw (F5),Area: B6_16_ML_polar_HILIC_neg_01.raw (F6),Area: B6_26_ML_polar_HILIC_neg_01.raw (F7),Area: B6_27_ML_polar_HILIC_neg_01.raw (F8),Area: B6_28_ML_polar_HILIC_neg_01.raw (F9),Area: B6_32_ML_polar_HILIC_neg_01.raw (F10),Area: B6_33_ML_polar_HILIC_neg_01.raw (F11),Area: B6_34_ML_polar_HILIC_neg_01.raw (F12),Area: FVB_4_ML_polar_HILIC_neg_01.raw (F14),Area: FVB_5_ML_polar_HILIC_neg_01.raw (F15),Area: FVB_6_ML_polar_HILIC_neg_01.raw (F16),Area: FVB_17_ML_polar_HILIC_neg_01.raw (F17),Area: FVB_18_ML_polar_HILIC_neg_01.raw (F18),Area: FVB_19_ML_polar_HILIC_neg_01.raw (F19),Area: FVB_29_ML_polar_HILIC_neg_01.raw (F20),Area: FVB_30_ML_polar_HILIC_neg_01.raw (F21),Area: FVB_31_ML_polar_HILIC_neg_01.raw (F22),Area: FVB_35_ML_polar_HILIC_neg_01.raw (F23),Area: FVB_36_ML_polar_HILIC_neg_01.raw (F24),Area: FVB_37_ML_polar_HILIC_neg_01.raw (F25)
136.03723,2.666,920968.827480381,580052.332582946,712124.095995749,1400631.78909694,1282149.26281034,2304014.2082157,1599749.29588757,1173867.47962944,3210929.69303887,1147524.53491724,1373328.99901915,1143209.07744331,505175.025032461,691242.325862446,869283.546466211,1261608.16317653,1796589.74089502,1683327.25695964,1891996.66431512,1755209.94493656,2446167.46640899,1678440.93083084,1457103.82739363,639861.01556594
221.15237,0.622,2277280.21750584,3702214.77773083,1559862.82783387,464975.741168865,659219.348770024,885034.005450087,775076.978514765,1178786.91289263,1537079.05151221,461515.368288672,1364764.94949826,1225959.74193203,3904311.15044494,1843844.08162908,2218310.70958837,1552215.93427658,1029365.0468012,932341.060273302,949223.575057299,1460025.2662371,610743.016291702,1273866.41377284,974650.991892372,806479.277975326
174.01544,0.947,123327.70978106,361968.785776602,246069.330625814,196736.359034297,400772.10356988,244450.273979299,252583.92606652,269834.013077263,533355.304650949,68695.217671944,275618.361936998,56640.471916353,201635.53124692,210438.884439229,280222.181912144,329962.626703878,84687.5226727194,52228.7468278819,252707.143151203,439213.840733201,416115.679127741,463369.19176698,242844.614481463,260419.924544173
265.16787,0.611,3456537.88336019,2894732.98810895,1222313.95099024,2852364.40354763,2507142.43132598,2278547.74514778,2114092.08318537,2206269.21409054,1810995.92748928,3372278.01703405,1472839.71727904,1899807.07406921,2108523.51427283,2490011.87761904,2260075.81114148,4164862.85128522,4358161.1554636,2769458.28240533,1938065.1288411,1489797.1519638,3171873.40010594,4607994.52996126,3845969.03142294,2294653.43902798
390.2773,0.583,8189187.93710409,8632083.91493451,5762765.42900177,6275887.97938302,6943235.10816405,7102674.66009029,9084532.07354594,8683306.54568512,9157624.85100111,5888328.57434243,6684004.40478842,6537457.82591682,7148983.87873543,6247287.76388177,6364492.46912356,6378132.88719302,6683987.56822857,7017986.08024684,8005448.03907895,8069568.75525593,7922852.95981895,6707491.22444103,7346718.26991286,7127363.93771643
243.18332,0.789,139560.902448297,267383.876375238,2134281.19058886,245019.591396528,190398.482781272,253956.744614308,223359.408321197,296603.187228394,203540.070198864,224908.334046217,181262.814880547,328610.873218401,156011.148883093,285864.885423604,164261.29786168,159296.111284656,188481.250561327,233166.726585267,225085.755658924,276876.743725422,371304.347472235,418017.387792247,161474.637835666,206752.463741747
301.05474,0.555,1277149.2228111,2101400.29248736,1572434.54353886,2077065.35304419,2296309.41205841,2072750.62007164,1775606.74249197,1827715.87393627,2024276.22213972,1667627.25508116,1887168.34888954,2087788.03385433,2158777.75398793,817321.307765114,2039905.99065184,1917370.95371742,1767689.60754355,1750175.69913362,1610586.19147189,1887172.86610042,1898167.44301411,1702111.85829691,2019979.21095286,2046178.24329973
294.18681,0.594,6415637.05573134,982356.549102434,1369538.97164795,3983419.81520666,897210.395886619,1551322.00431644,894134.790168849,1180423.32702621,864324.208538798,1104580.90098436,1347144.39590822,1203662.3917173,827450.492248299,2845714.95860036,594805.430397776,826157.126113339,848111.131528082,740044.704554508,1542822.65177355,758504.918074976,852683.636401891,1723038.64473685,839703.098811661,891078.513007994
251.15202,0.602,316514.892658584,264046.518502956,2401218.40779851,306718.044071898,379739.570141066,198885.274185314,241276.817542187,223802.267393647,138950.52346011,247279.81873295,78452.7847956526,268672.463222625,191961.858058858,445808.030991986,204637.51719767,227829.735786951,234931.977870411,176273.606511638,195218.744122876,163590.657154664,253469.948072529,318677.219900448,138999.780606677,170923.353083462
266.15528,0.605,36413525.5501961,3729299.42932385,3155144.86622693,7992834.66756972,2271428.00752285,3790657.76785633,1859033.74081808,3239684.6424501,2118345.13078297,2537590.97525721,2963147.62663627,2939028.76025149,2685078.9956348,9544940.12375077,2042614.13290989,2164985.51422818,2264603.61968571,1656029.19584425,9086026.11565268,1905714.23453969,2053572.74389931,3769754.66917708,1900923.63213957,2198966.7251361
