m/z meas.,RT [min],Area: B6_1_ML_polar_HILIC_pos_01.raw (F1),Area: B6_2_ML_polar_HILIC_pos_01.raw (F2),Area: B6_3_ML_polar_HILIC_pos_01.raw (F3),Area: B6_14_ML_polar_HILIC_pos_01.raw (F4),Area: B6_15_ML_polar_HILIC_pos_01.raw (F5),Area: B6_16_ML_polar_HILIC_pos_01.raw (F6),Area: B6_26_ML_polar_HILIC_pos_01.raw (F7),Area: B6_27_ML_polar_HILIC_pos_01.raw (F8),Area: B6_28_ML_polar_HILIC_pos_01.raw (F9),Area: B6_32_ML_polar_HILIC_pos_01.raw (F10),Area: B6_33_ML_polar_HILIC_pos_01.raw (F11),Area: B6_34_ML_polar_HILIC_pos_01.raw (F12),Area: FVB_4_ML_polar_HILIC_pos_01.raw (F14),Area: FVB_5_ML_polar_HILIC_pos_01.raw (F15),Area: FVB_6_ML_polar_HILIC_pos_01.raw (F16),Area: FVB_17_ML_polar_HILIC_pos_01.raw (F17),Area: FVB_18_ML_polar_HILIC_pos_01.raw (F18),Area: FVB_19_ML_polar_HILIC_pos_01.raw (F19),Area: FVB_29_ML_polar_HILIC_pos_01.raw (F20),Area: FVB_30_ML_polar_HILIC_pos_01.raw (F21),Area: FVB_31_ML_polar_HILIC_pos_01.raw (F22),Area: FVB_35_ML_polar_HILIC_pos_01.raw (F23),Area: FVB_36_ML_polar_HILIC_pos_01.raw (F24),Area: FVB_37_ML_polar_HILIC_pos_01.raw (F25)
129.07909,3.412,3803016.58650175,1926038.83236569,1046309.04045004,2948121.38214482,4295038.99139904,6550767.16356355,5242232.38536835,3947276.52528762,5841479.94733044,11196296.6055708,5242133.90210708,12508279.5477316,1995247.54104014,2766185.01354417,2102677.78902812,5862436.82063297,6792697.57945362,10420981.1029944,5930639.00446001,5112283.29132649,6401994.27090938,5155281.79884901,6912394.25620881,4329046.7362344
211.19339,0.701,72269.0749315626,96511.5552825705,251342.832609784,115768.920577861,120902.467565783,131583.346954521,20488.8867442826,44759.5620607576,101982.488355478,125024.519759366,79822.1606702079,113418.521810536,109258.36763499,92916.123472133,47869.4670194416,54523.269610563,51746.149428733,60822.7488038932,49666.4358620133,138412.779475376,37121.7806382266,51385.4270574289,53101.9144979014,177814.894409159
419.32417,0.669,519867.593269309,224161.088708618,167245.376593786,262491.342447257,116731.737773203,105137.811648924,12941.1176310596,25190.714299412,155385.228054091,148042.568093543,151515.081733183,106943.289290758,51786.143875584,498971.119565825,250435.771955067,251889.492679512,144943.959709062,431185.352390627,173856.815028935,80646.8333071261,324319.252795736,225156.452934173,109337.141044505,452092.294356922
182.07076,0.741,1313954.63369006,2125195.10400271,612067.919148757,1577687.05777038,1986497.8156079,2132703.42835029,1677892.09686354,2205319.30427872,1903824.40213285,1777510.01526839,1667202.71527406,1570424.10187739,2198300.04191076,1213870.23896722,2197504.0988267,2046919.37283048,1554532.9485569,1862651.51554711,1774554.28949022,1974837.42184932,2066769.92750941,1894635.99370985,1638958.49239156,2002275.44006393
266.16442,0.694,1797036.4631803,672755.588007474,252684.84977737,670130.735653948,567386.251713175,548229.633785446,31977.0705657934,401905.904257475,354418.816272126,427469.244627245,218213.643065036,347455.524146471,727950.975824294,870236.373236873,709700.664813051,662876.863486254,1194910.40910536,643014.847567232,424001.405109219,194368.87133271,598569.659116082,921450.657669353,518078.783220242,472487.049428854
146.04796,0.924,4787710.22579735,2613081.78916124,1116090.26364332,4212807.31004776,2225447.94388331,2217445.130045,1519800.61283309,2686252.43375144,1572016.407008,2429751.91674422,2324462.88379846,2332543.21581363,3123135.90857219,2590462.79330834,1945240.81891162,3122701.45653427,2813300.28871091,1877383.6416199,3335826.83691388,2049355.78864379,2507328.66370049,3796939.70626099,2414336.03869528,2551832.8597224
143.09452,6.816,1358545.06497265,753168.308793681,454056.970692186,1484658.6073168,2197541.47047621,1847854.22175736,1808879.95212769,2726871.51710552,8586933.74179343,2696026.66458537,1899565.71080682,2258481.81885205,1347629.96395089,1026402.7705486,1377383.73810052,947119.523305389,809578.135486531,1082800.09915326,3596271.97923839,3346954.77370786,3906098.30731043,4389601.86233088,4936297.87159949,2765883.56363277
221.1527,0.73,15184584.4926471,18862066.899501,2792461.35750473,3130860.84058486,5294414.08737009,6794222.76402479,4177711.1227665,9650644.79789806,10834660.4355818,5198216.20894691,10402228.3079728,9122797.70157379,22249363.8226249,8642169.25519033,10578042.6244869,11744495.0853437,10809624.5775628,10826699.6460246,8747632.46976496,10525041.7490009,3739687.7956782,9626559.22664078,8086523.98871707,5867688.46176946
308.21971,0.765,115123.026761669,53248.3937756594,9880519.06528259,176126.821201883,170347.414499701,46415.1192913454,158406.93645539,39934.0990394559,182035.884393825,287421.826885587,195646.165642228,215253.988749163,85961.9969396364,55712.1593268461,186169.817815759,184341.702443684,138107.902925746,218532.873082793,123688.595846871,158740.173387976,55548.4018782321,67171.4367067306,219501.531491289,44656.883393198
250.17794,0.798,1623558.0166351,504813.240090657,1457093.91516312,2226808.7573226,541692.454251266,704082.929258644,375368.556796478,593096.297115934,440422.114569723,569965.314565015,315628.575455076,362200.692759777,1072316.92421631,853646.771100748,383769.96925658,573408.625095581,389134.037913217,444116.555762193,965961.226309184,326444.733956006,390216.604060867,1017886.8915474,272222.733782288,408497.488628743
122.04815,1.097,45245603.0153894,42702463.5203283,43439437.3488196,51373549.0429256,65209176.4610623,66979650.7638037,47797115.9358376,31303224.8740662,47640132.3832534,42349293.481771,33649133.3641126,39448926.606543,39529686.8454852,38765195.9260826,52255883.3119811,44411111.5325603,52353095.9855023,65784135.3815401,32886003.9200577,32413558.8070637,37548627.8607148,34861250.2149998,34381975.8068944,30519569.2885218
194.11545,1.145,2409293.53706978,1878450.48584351,8003733.98307728,2181416.97655511,1722576.19515962,3414188.5098202,1956942.59001114,1834378.25045777,2136118.38806375,1827045.54587511,1110562.60457603,1866999.90483905,1716022.05715282,3666355.44393525,1066065.53682829,1901037.82101689,1580808.19009525,2866406.53960093,1578245.63058121,1211107.56933671,1074599.14916224,1704045.63849141,1191029.98868902,2221476.34592608
129.15183,1.771,78753686.8106042,8114802.34885415,3108628.26317515,8561644.7076792,1670921.92582788,5077487.71970238,5424048.00048026,5185057.77101055,5121092.72504354,4370833.47999979,4463837.75500234,5122070.18977845,6862756.62114668,2414216.09491808,5570815.46918554,5101711.19607845,1966918.0485007,3107992.85975044,4538641.4771368,4151386.1253334,4891563.91762709,5133717.34592072,4283268.08291952,1646456.60503775
269.30805,1.285,63090.4693539141,20181.3271558455,44936.4737190495,157540.275476606,34011.3829114115,30018.6298271114,137260.023748698,88566.8111181743,8626.53034549293,70600.3726908078,22600.0667698627,33135806.9516955,131018.289164403,312569.914003523,14268.4778501804,13240.5421160317,115544.736379092,4298453.26515297,55953.2131145563,32309.5101364912,66713.306072917,106642.854793953,119397.845762957,56733.3492831588
243.18328,0.723,4360325.66614848,9025519.01854711,958242.368654322,5586716.57509327,3622023.28843403,5184249.14269335,5227413.3954862,8101009.92433189,7593756.28456366,11774990.3774087,6400099.05910544,4724385.3714144,8374427.17405306,9984725.82986085,6654826.10406924,4942754.17890819,3362448.06229752,5903270.92778157,9461301.15950491,15342860.3370412,21077375.2650882,14084419.2610089,1761706.11676102,15490910.6999652
129.11545,4.881,217060.324596322,54667.424915985,54877.041296856,197980.518058291,144876.989253722,234955.257934911,4766601.79386571,3996736.50732876,5334462.10447733,13116351.6052965,4707268.83495786,7026923.03727271,36792.5281000268,48423.6989430845,74456.6178011504,121742.222828727,96359.3428427941,140052.2340193,4309170.25300136,5664099.96534123,2604478.74669592,3859228.88362046,4988566.9572819,1355248.98718027
129.11543,4.754,56783.1987984748,84806.9235822079,90415.9795516037,63505.0874507463,46342.9455401055,82668.2462368422,2081557.99133117,1730489.67484749,2418493.38652379,4868802.11041491,2286082.81291706,2498902.84131412,69961.5227470128,80360.9582633299,24336.1378686729,87994.8427396258,98405.802950208,92607.63218328,1688857.92731075,2470637.09351606,1467152.83978648,1442228.20779379,1960305.814349,554992.928030003
115.09999,4.797,353609.583114985,95462.7018865426,1071387.95936943,66453.7530784152,60496.701722346,91770.0959952269,1452034.66855345,1417321.75134021,1593084.42067729,11422307.1476556,1527846.82811359,7171103.57096822,57830.9257720884,150396.207348963,81959.5768853887,74647.7172335192,210920.914843694,439518.162831927,3038495.75463874,2511108.01814175,1640742.94906292,1983273.77196095,2874356.14085147,1011601.73572312
115.09998,5.036,233630.493849629,44936.0024657335,1064875.63979015,33852.717198374,223368.256220368,245926.623930981,632984.680143011,704130.968687828,728323.387505517,8319435.04774336,781367.568802988,6363355.14427483,58133.0706341674,30552.6271705433,6768.1201163167,216018.531682171,57915.8200863016,165297.244190211,1755464.7380251,1227911.72713762,483008.599610906,1131009.48206819,1608075.05309586,563469.730352683
555.52258,11.818,18738077.3143663,15241047.4772242,19480287.0485972,19406444.7187155,19564438.6503342,2237589.67137736,21487060.615397,17677073.1242083,21287351.7233102,18565222.2946815,20590345.6781629,19971248.2451613,23000491.2844551,21306993.5122839,20048804.3220263,18766232.7796668,20530761.4588656,20829688.3296406,19965569.949121,14939202.9680196,16989018.3492625,20148003.5888359,17005280.3361528,18065621.9153591
353.32901,0.726,893359.173436894,1805042.85086599,482697.64211222,1425274.27309191,2087377.82656275,2039800.41167733,1205089.01054307,1354653.70187805,1551691.18475804,2477233.97310283,1401843.94221658,1916624.33181412,2041088.73971646,1366882.21261933,2423849.78637579,1033530.06246974,839235.705697191,1197504.18725686,2359918.83226446,2514522.84844577,3555816.93739817,1946076.10451565,776663.324472665,2940333.26761546
397.35512,1.602,15403.7713820926,17296.3763094308,29241.8524762117,14661.5783001524,10780.761352208,3420484.55024849,13667.110145219,23102.1717567494,16316.2822431349,498091.989735039,21289.9860529431,31619.989661911,11098.088333138,17079.1589300454,13477.286553611,10077.9445839748,28074.0478372935,14428.5677450283,12158.7569414885,9030.78144377958,9411.50181727997,33758.5560053298,14040.7177352898,16108.1979201042
1001.77184,0.71,85488.7345496631,73067.7072143144,42517821.7480882,42334.1799271558,36520.2855744198,49203.7282434878,5300.79375193003,53060.5508463123,65032.3165287101,41364.2385119073,60734.886815153,48805.473356301,82888.2229367944,55932.7052953095,47807.5356469922,64635.0095104015,56897.9542157924,72102.773283185,58877.4403519456,59316.8191860301,44006.2868887448,52176.6744352499,62950.0536763012,45454.6991247986
757.64325,0.681,392532.879517945,224489.174423347,120035295.871975,807749.727045014,282921.349629972,300786.722335932,23131.496651523,360491.996227719,234420.999984569,246433.584376228,18469.2886598588,261986.280098789,295727.214920752,365133.056204154,258623.622822942,306297.263700615,262107.35481354,276017.659382783,322667.948214381,230878.306686481,258136.466270359,187627.292280386,171864.781770759,306617.439621189
282.16764,1.266,796592.277128184,650480.031528947,32930376.0036644,797092.891959638,499741.665774047,633425.079445738,633426.358335097,431667.677353666,428469.155270631,520345.496736212,316599.640199899,948797.532131807,505034.114025907,1127067.20980497,573552.720699994,606982.301423778,527056.441178345,562530.287714631,486330.032923745,1004026.44923779,412912.490893984,507465.374192372,482163.219194957,421246.090386469
171.16215,0.729,787554.352888966,1189418.20628947,479916.789560228,907490.032404488,1097578.38530444,1058981.32370909,868522.976108767,1143776.62189216,1063597.45653345,925733.45684884,722275.307220234,852547.944080816,1182372.63625153,761903.530629363,1058870.0974121,1106435.02654614,910339.707244142,969654.403374174,924712.777875804,938133.49272686,1110618.79519183,993707.634971844,892668.587368741,1101618.47933045
174.00793,0.696,123579.344288717,105623.967810394,17545867.3594668,88625.7453573069,61790.8528996749,76120.6109705517,7842.13654266402,76702.3645364188,97796.4655126528,81792.914955946,22893.6546788544,89368.0359840767,119820.141141935,85318.7207370804,82031.6629663453,93433.9727388312,88674.951990169,104229.095104428,85111.0442846081,85768.9690443533,63613.8563395506,88056.7989621602,90998.2630721663,77353.5092122809
222.1367,0.728,4096573.78685755,3685167.28090646,536438.984116063,730761.433188041,801208.82357264,1242430.59888216,20234.2947604429,1625234.19351172,1437406.68871466,1707033.24695225,1605306.64653283,1723778.59771463,4327659.61697075,1757093.45304867,2259640.48231795,1744306.70276364,2581966.77323802,2603748.9444338,1704300.3841471,1638178.92298146,781571.959312395,1577892.44322122,1311947.79559376,1156367.64317661
287.28224,1.794,388299.550579045,58641.771651451,2400221.25398727,1024983.21288442,78889.8301077864,53578.5008810013,65631.3124996491,56715.2741063562,88746.7456867014,119247.105198022,107646.800910321,83636.3315861398,175710.076497398,107850.337441799,102916.358674593,8486.32957681249,72142.6602787592,61575.408554534,78286.6826943219,104626.317306618,122537.826322613,124726.037323577,95479.879439939,83113.9519525245
126.06554,3.672,762029.81660255,564043.097243295,684713.325843178,517172.365207294,722754.380299458,621941.617221981,644052.609420553,14210333.9989415,580897.679672489,358449.09328248,280349.120329303,866202.495382604,453081.522152602,529284.751579046,417684.081136076,547077.386512102,466369.427737461,623542.353432348,478369.144516847,512976.92482136,490490.632518342,321600.353919283,320417.789839112,286168.659663763
160.06363,0.922,7040179.87899095,3148675.3408835,821503.930224739,4937425.33666065,2248400.21739295,2183935.30495605,1405109.69830586,3533895.22810881,1172322.76231163,3130684.27232015,3071406.11605513,2062010.82187589,3836376.06822172,3585129.80678169,2326095.35656248,4009491.91004598,3714841.16647287,1745465.81008173,4375411.01139366,2051923.79045223,2630091.01708226,4595609.53377798,1948734.13274031,3931161.81008994
117.07912,6.816,30905861.4468978,29371035.2205618,11093309.162222,93567208.3158036,156414889.92748,97889740.1549024,13870290.5470773,89592498.3407011,450630792.97041,87235782.3104996,547690.062738721,82750760.9403475,67378342.6136851,106399439.119563,86210653.5849598,41444575.2299898,36550705.6690006,29092638.9114791,127057125.185605,137466331.565144,311604398.634324,154388520.527575,260518162.077969,104849014.611429
127.09986,3.659,92790.7790401183,144987.469220437,198614.449184346,287009.789202687,174372.125273651,191016.663707251,2846450.28660789,4250993.18272461,3438415.32693221,4620207.9867031,3444019.72951787,3636601.53484849,99320.9682922485,152239.107805228,73469.3810089078,107460.190561984,159547.755144316,136204.695701823,1570352.74754347,2330972.17347028,3242100.43819965,1954763.83425102,1491691.3432673,836073.002526605
131.09474,5.573,147507.280331724,143756.729523823,14356129.8706643,149755.855168599,152234.554432757,9430.38119038894,40306.8413188095,48190.1596063425,79582.8835046635,118837.892084853,59423.0673958393,72000.9055742754,9751.55665749538,158614.514299369,155642.476249756,138049.466987718,142470.4291263,162765.964066833,45618.6014774848,69554.5533601656,45563.6851356595,52835.9934184275,31996.3634889226,159791.856937088
268.08055,4.331,974631.987424584,1067566.1115387,1100145.51010941,2092186.45932291,1071837.22659049,3054144.91386717,1855040.28146342,1227867.5053573,3272476.32675778,973911.291990486,1547009.04744445,1397025.50901279,784013.810366272,1143066.8831451,1063921.17088776,1682043.60863218,2091784.72388069,1799824.60786501,1657837.48674254,1984807.14250237,2477140.30122633,2156674.650672,1401213.32430993,1010447.14678229
136.03856,4.343,2284955.09845784,2652115.56795729,2573129.33160444,4926834.41944194,2431133.95394277,6598902.16755917,4017373.10694707,2940323.81085642,7486567.3760135,2269934.71121843,3568045.10260969,3080474.3062215,1851763.64911217,2532153.46958632,2590359.77724766,3637461.83978167,4722534.9189737,3997262.81653213,3832798.60373767,4508223.79915336,5590579.88158268,4573371.96531174,3176766.57713421,2238847.32920324
136.03855,2.754,3895285.20256328,2782135.52245163,3214500.70956695,5779630.84752332,5494474.64833671,11252643.7500246,6386121.7027741,5302214.18375861,12690613.0299856,5143933.00165363,6239290.84523375,5298489.70212192,2093366.71414446,3191444.52781033,3663177.60609849,5802066.74404932,7486703.64017363,7197412.56266064,7683490.09696045,2344542.72887484,10345315.8044481,7335199.35400618,6261294.45105446,3288213.71627847
390.22204,0.733,22662.5673096199,26852.9852396838,80024067.8732841,12252.2297138765,10468.2751549459,11289.52221246,6468.53514942294,13526.4593761051,13278.1889114844,11953.2993559658,53144.0819708077,13555.7185472407,15881.5452605309,18841.0855437603,17473.8338307261,13597.8398291479,12892.2510675346,14026.3909843782,14328.6139164078,14155.8231851488,15779.8930388567,13788.0544068511,11445.4662870918,12338.3175413286
273.26665,2.03,271900.343208104,119619.643200356,235894.516457944,894212.93463573,111365.072562791,130655.62752426,269287.465499737,152124.7053346,112973.333102502,206201.122599046,97036.5901791439,170960.919085008,90747.8359062839,212324.35149791,97213.3427332922,125078.834171036,97201.2369264344,131448.543784411,178043.173604212,133640.091979847,141475.962757599,8640209.23674314,249562.486355963,91429.2523954868
755.62625,0.677,570127.762816644,114770.812357074,65659004.3504607,895436.970440884,753739.571003074,479302.115993891,31545.7809983963,66721.811663634,420900.113585023,331391.139990126,264078.353778191,410619.758063937,355791.39267423,308022.421395325,353295.126550695,412380.159942522,419081.114449498,439230.904755256,382009.563095303,415688.979567771,495728.882828357,381310.822776787,318524.806451036,340924.986318463
145.11026,2.323,2052599.18959452,2404372.60171304,3032795.72523805,1653647.73321556,1712315.98186319,2188442.71703344,1989453.08500099,2454029.31622628,2542189.70406728,3201117.2788896,1409055.98638765,5809988.29835683,2432653.43690142,3027548.652861,1617277.69678493,2124478.72767779,3768017.81339198,3363083.50705335,2366804.04321143,1018140.69207194,1644889.91300393,2197310.57796385,3016653.62411185,1508383.8617015
247.05141,0.666,335968.297161854,248424.516908683,183661.447095278,284197.920885179,190806.368223613,248199.56596341,162008.828466831,191428.008976345,300893.910116495,264402.39927195,227683.849000637,204771.663994695,267749.473247797,273794.097127115,183699.542860251,278040.691087586,170915.442324433,215843.659203027,247662.320485036,225063.305546181,174419.181033798,215660.51233798,255082.482079129,255566.513719006
337.33408,0.719,1267403.9028559,2608804.09471372,1105066.50233789,3312180.44829422,3968273.18565948,3970929.93175471,2002769.86822203,1651204.37994518,2984515.85435153,7110520.36536403,2941100.81535997,3108713.25269803,3927453.57798202,1267108.62781252,6725210.07036718,1900628.1108843,869894.003306194,2174466.5251895,7542787.52706832,5141612.74559808,8618548.71743971,2930539.19592562,1333438.27670106,6882078.87516481
444.11227,0.663,498342.613908565,495179.983294015,140945.300638711,622857.226272767,387406.320021979,511905.89084883,324443.897490413,316858.607448736,653224.74199704,546601.205301753,427102.837490403,394966.151819957,380926.234887426,544397.136117628,435043.447025418,547783.251102609,272005.381697943,420987.12339138,499400.669628814,450860.177516999,441562.680313123,396087.183502733,551826.586426842,619235.015221585
445.28841,1.143,5337.40561643051,5188.19739749691,4313529.67824559,16840.9681963814,5844.81365293214,6040.10563925224,12210.7496366015,9420.9596832369,5357.94300368948,7323.19663031317,11512.2544044723,10942.35328701,5482.04040801674,6074.9570100746,5685.88104285989,5352.60672869107,6030.91651691236,5865.35270103716,11806.4037147776,5236.25108310715,5353.15226569396,7723.70873566554,6544.24952554098,8376.28370024199
181.18302,1.855,510138624.197241,3057347.80795939,1448934.11685796,2155803.89625874,710885.024609922,1417583.41956566,2089563.62936873,1234861.94774694,1060806.39535016,2307979.37969995,1037123.01756246,1127848.90859556,1360762.57400467,1250734.50593885,848277.880804047,797307.838762864,802676.774856068,1688135.5900914,1102097.76064692,1147381.90700501,710698.087827211,2305929.83364909,1500972.31414825,982722.025990885
227.18839,0.722,3391006.80983623,7111811.60435459,2927003.02476998,4127060.6300756,3197137.26606705,4176326.50248544,4608205.75562742,6260751.75061689,6178786.67633524,9427304.80056568,5004314.6897178,3780884.22663979,6755950.27204682,7909795.49727103,5561269.80065048,4213904.52527206,2483369.41741241,4953526.19590659,7289642.65087561,11428616.9463205,16997536.2690508,11586526.9978748,1748790.04683024,12632691.8535285
283.32353,1.413,1039020.77780604,230243.476603496,1538874.576569,366783.470250556,176381.659271273,319796.93000968,260327.277469596,269839.624915688,262687.26143651,407335.398926071,337456.926465199,476543.786729122,227828.872755545,275637.752431489,184624.712151796,153289.395095846,314442.42850251,267553.028794937,232860.508414138,224992.234339663,259437.491008792,487478.874890392,204272.142665968,231744.676885797
305.19887,0.878,110690.130819007,1225607.46339579,435972.669907131,147178.751824576,491626.599401393,194190.315619955,19091.2497963329,298250.51331113,296450.906111088,25085.1655839343,220078.990194872,74933.9635764512,273002.636433604,506580.425372487,493407.708230042,469713.322219382,160243.757157832,198105.103085024,100559.089994917,118944.521856809,122046.401770933,61399.8448009309,85684.3264034617,271161.20551378
113.08434,0.926,3949780.35705502,5184908.41464671,3288749.03862327,3656766.27468073,4314075.35879296,4134723.12571852,2884663.59018769,3957915.79976249,3378017.28355533,4893991.98347248,2826740.02747599,3723212.71710348,3465982.32221941,4773305.0457267,4525604.83867738,5387915.1508243,4856406.26232073,5131177.82107817,3201079.46660762,3015162.34160167,4369596.13356757,4479907.47934658,4005303.17710186,3796518.42054007
450.15117,0.881,6698.84268477461,6843.77664290075,2153012.87998782,6983.70285726363,6672.18180723534,6969.00516478764,6525.9866989477,7040.56751476843,6389.27453709564,6715.721378411,7063.30314649471,7000.07639600949,6894.86662599439,8005.88936556155,6349.28332285539,6494.52397101013,6638.64006263672,6661.24722723514,6671.10725233327,6354.32242439895,6604.69088023226,7324.902219856,6433.28386023658,6668.55461278123
302.17003,0.799,11216.893655742,7158.83681706683,1505776.35279889,10513.7694700526,7192.73504406235,7003.24728073488,27339.1588595807,8225.21824082763,6853.29121064257,7397.17933605143,8592.93519645933,10830.4494951294,8180.54495790353,9386.988470147,6600.79585443077,8204.57111437335,12085.8514272674,7369.00782080151,6889.27672082572,7155.79715279439,9685.97475839806,7514.97192119755,6750.4287104258,7064.16517487597
267.09661,2.635,18335203.5356043,6303980.61619787,6044424.12264894,3656703.45024704,12553120.3904275,9896031.20210169,3070434.73942428,2734309.8484021,7526052.0406008,11194295.6716282,5267007.05062511,10930727.6210689,7566764.61262297,7640352.78255542,12635024.8441941,5826135.58623724,17112741.741593,26421797.4443435,8870949.27966204,9021891.17367216,13430487.6233328,7338733.67488093,10761550.7390113,3836467.49470646
248.19853,0.727,6003231.24156662,3537691.83831771,919098.241083681,3422071.02645462,1797565.99559436,2975609.72507935,2876211.35034304,2844981.70336975,3224944.83196299,2769699.83508294,423866.853704933,5160674.35799087,3871749.93047312,3074255.39392705,1544271.35526554,2469831.0218885,3438076.8363216,3661185.59155146,4271285.99822671,2799201.8650348,4844633.40793433,6047848.64242512,3514806.83158026,2850127.83381212
297.08939,1.281,6889330.5593668,4776126.23476805,4344436.72259992,8701758.38865133,5432744.12436422,7238418.92210525,3366598.16590555,2939572.57223433,3264459.25452061,1824894.75333428,2207601.93534347,1920142.64348846,4452020.13774375,5868267.9734248,5510801.57443447,6186573.48844016,6504776.32727694,9406182.82219255,2270156.80977942,3625388.21042891,2764012.12395087,3329953.41520477,2943496.72448749,3013509.84589047
495.33246,5.25,12509224.4923334,4013842.41152361,3012846.42630596,2079751.05146968,7819774.49054063,4984561.88217191,2684368.47818578,3244614.37359418,5498798.35451656,14080881.0853417,2684432.06161314,9308992.15229961,3862927.72298535,4901319.37434979,6361243.21414392,3817073.5831662,7180080.9191038,6629870.65788519,5431894.7661982,2427757.68541789,11050564.3490704,5824989.34349625,8926216.35678709,4330126.310478
495.33237,5.139,1913079.44601051,649626.225972514,453087.747116775,322914.50359571,1166490.28940648,750372.235743077,411467.416281095,478749.974719567,760611.512261398,2326008.83200751,394182.3355714,1238902.44177342,641221.093818399,796272.822166086,1001157.22890717,604513.759875704,1027089.26897579,985925.943890936,788382.086665135,326625.442342215,1505182.89726979,806129.793389214,1238333.32257368,632662.613397968
128.09511,8.869,9374849.55360391,12677179.1030638,11424676.1683662,12527873.5990781,9892158.69226933,11778161.7339618,11277905.8646132,11303441.9810628,12601155.6191042,10536968.5210972,11452011.3298965,10995588.0013056,11783428.2431267,10880072.0917833,11505348.7054695,12626367.1690904,11200627.447285,10680734.4221674,12858556.280889,11342082.4046648,12107553.1638482,11622009.730821,11006296.5473378,11686535.9515791
362.16409,0.695,186548.248118397,159443.847738088,66494520.6417681,133784.311850425,93275.9064592993,114907.282474996,12725.7418440061,115785.464093242,147627.901884104,127670.051530674,31497.6240497237,134904.830953481,180873.571938574,128792.218285449,123830.26552446,141042.534490632,133858.591344373,157338.228379579,128478.721894874,129471.887152633,96027.8072723357,132925.463198178,137365.727708263,115988.863950487
175.13193,6.808,551845.309667164,456270.304460195,184833.337497009,845963.812724034,2745570.54638658,1746394.30777599,2215635.49005071,2280885.40770085,3981554.7820244,1743065.19629505,10807.8179673872,1643250.93887319,1225387.97010833,1345556.20359323,1677504.66303693,576113.712325639,579187.720300783,677263.164536441,2279145.28931954,3313594.16678783,6403499.97760515,2273689.25303655,1997653.53606017,1261163.0431145
175.13196,6.851,1192923.32313596,938066.424949214,447193.00936556,2229713.4443015,4022740.3675181,2233381.1530635,5809130.73452854,2249618.44477349,6186976.41277632,4517024.25087002,13943.58612493,2437420.29730279,2313206.95172906,3051651.87275293,1818306.85905863,1192434.72813399,955960.128868571,1397826.13195215,2937264.37946017,3551872.56756219,14250645.4012211,3301140.78944036,3744194.8120901,2669235.23658359
