m/z meas.,RT [min],Area: B6_1_ML_polar_RP_neg_01.raw (F1),Area: B6_2_ML_polar_RP_neg_01.raw (F2),Area: B6_3_ML_polar_RP_neg_01.raw (F3),Area: B6_14_ML_polar_RP_neg_01.raw (F4),Area: B6_15_ML_polar_RP_neg_01.raw (F5),Area: B6_16_ML_polar_RP_neg_01.raw (F6),Area: B6_26_ML_polar_RP_neg_01.raw (F7),Area: B6_27_ML_polar_RP_neg_01.raw (F8),Area: B6_28_ML_polar_RP_neg_01.raw (F9),Area: B6_32_ML_polar_RP_neg_01.raw (F10),Area: B6_33_ML_polar_RP_neg_01.raw (F11),Area: B6_34_ML_polar_RP_neg_01.raw (F12),Area: FVB_4_ML_polar_RP_neg_01.raw (F14),Area: FVB_5_ML_polar_RP_neg_01.raw (F15),Area: FVB_6_ML_polar_RP_neg_01.raw (F16),Area: FVB_17_ML_polar_RP_neg_01.raw (F17),Area: FVB_18_ML_polar_RP_neg_01.raw (F18),Area: FVB_19_ML_polar_RP_neg_01.raw (F19),Area: FVB_29_ML_polar_RP_neg_01.raw (F20),Area: FVB_30_ML_polar_RP_neg_01.raw (F21),Area: FVB_31_ML_polar_RP_neg_01.raw (F22),Area: FVB_35_ML_polar_RP_neg_01.raw (F23),Area: FVB_36_ML_polar_RP_neg_01.raw (F24),Area: FVB_37_ML_polar_RP_neg_01.raw (F25)
211.09493,1.153,1607921.5775601,3069739.09615744,2749530.60067724,3287680.99869404,2956260.58307396,2724544.44625856,5252722.66026837,1819623.54923861,2210791.27004135,1559449.64884844,4841070.52797592,1971564.59567175,4769533.0499965,4108112.5208291,3367582.47756056,4231832.89784729,233070.739800265,274428.603996585,2696946.17424029,3955241.39570807,3520926.42443539,5039597.81424969,3819650.32498626,4257755.15918862
230.12606,2.83,1234789.98528643,958762.185092572,625955.491748005,1314727.36067876,1159630.09216225,1366656.26135178,4118070.6613271,4139582.24724633,3658403.03586469,4859238.20446791,4322038.38973568,4401833.92640775,1092857.3762878,586672.22867015,904233.575741831,1192707.95243618,1754745.96468638,1383513.90625683,3256819.36455528,3642214.7123788,3511617.91104094,3329131.97225264,3923603.45436465,2032716.35625518
320.1469,3.128,173756.024330431,247396.582809548,195490.201555486,161746.966499001,184162.027919354,109025.486512256,5396131.03113355,2018538.82670306,902420.768418629,5036081.5281346,1598200.84122263,1429094.27291701,112619.059765726,177402.022248689,346610.136846302,242830.024538218,358851.780341477,233934.09137599,3703802.31629521,9266942.02103312,2206241.1014366,834551.521954038,2011974.00966538,1648436.51124562
320.14695,3.428,6188557.89997686,4987139.8178646,3589386.40141131,2881410.91229368,2987925.13201593,3066181.99875388,225691.153277044,134666.990652601,69481.7163345228,1541826.9187205,1117205.2064793,80748.1973973616,2335557.44608056,4397760.9217049,1222979.15848902,2508133.34696747,1783431.49487584,1865324.68507085,115909.870068932,66644.1389074064,433099.079835892,397320.854084957,514212.580831892,103738.910403061
324.03562,3.225,3712265890.10352,3043492980.41839,3093220492.81512,3115041198.69477,3046641323.38796,2596666094.01427,3691020953.79401,3709933171.96749,2570535684.2855,3893465093.33286,3538731750.53911,4008319817.59002,2995458970.21832,2707947855.5624,2825637371.93414,2577126474.06565,3233402489.00179,3019464565.31515,2297653156.99628,3116499390.07979,2882897433.85184,2634344735.03961,3505790647.41341,2991766384.24784
282.1216,3.665,424383.441298683,249181.845541073,199335.247666722,353432.270437719,490441.950745292,647355.136547051,2689162.01578215,1957277.95826274,1899623.15026441,1583571.24632395,1406645.9778575,1411842.67399728,366328.082385624,124770.264945229,466853.070087384,120431.331614826,258599.082436098,126208.567778692,1088594.3511745,3284100.19379849,962668.16636214,777864.256575623,1186440.58318752,1960150.26190334
332.14722,3.793,57855.9156463933,279130.43032145,287369.563474005,250134.15356429,258533.615163756,232539.722440943,2540626.53828967,3426447.88320061,3087996.57680374,1483880.19939891,2905769.61631314,208506.229850112,283153.502508342,138800.026274348,189308.177912005,204328.419211205,104230.635968143,50945.7202751121,2218286.34379821,5831386.890654,8845149.64786943,1282423.53685184,3015389.11362686,1996398.6703938
228.1356,4.188,99003.3264477321,315290.843933503,438984.628591021,82582.3871055375,768378.543320867,159557.44945821,878647.069291597,749975.61804484,987712.72964975,2983125.21620282,1362990.4653327,1569655.39457892,199904.60093087,388468.316855552,172969.640108764,251990.397466328,236919.361779167,84823.1325865477,859254.313794564,1577399.24165813,5642988.24960231,366539.075878495,1786180.04235306,281667.852639312
136.0369,2.918,162093248.302406,126138951.396552,124406447.740824,162617198.775024,144501945.58767,275246519.058514,193014076.285763,158302812.371094,207969755.247224,194905687.904839,205048045.909877,187854667.127478,81672169.5446684,99104506.8363822,146851861.612699,188561123.071349,229428627.090609,170215091.641239,163312394.146418,178859051.491181,233348954.278523,141690891.1578,183820681.371419,116245356.424567
500.07782,0.888,6788907.68032622,8134206.20528405,7411013.81129602,7193114.98986077,17143534.8429508,5530515.33873255,6584986.52776524,7153220.02739127,6516425.9050464,38187681.1172173,5170420.14030627,46988026.8042103,8007922.31967511,4941248.79220078,8592045.01441068,6240108.74389972,5458375.05652133,3794695.19868218,5678590.32667102,7241522.29013031,6672885.48751127,4928125.61720462,3905928.37058496,5024888.91873563
