m/z meas.,RT [min],Area: B6_1_ML_polar_RP_pos_01.raw (F1),Area: B6_2_ML_polar_RP_pos_01.raw (F2),Area: B6_3_ML_polar_RP_pos_01.raw (F3),Area: B6_14_ML_polar_RP_pos_01.raw (F4),Area: B6_15_ML_polar_RP_pos_01.raw (F5),Area: B6_16_ML_polar_RP_pos_01.raw (F6),Area: B6_26_ML_polar_RP_pos_01.raw (F7),Area: B6_27_ML_polar_RP_pos_01.raw (F8),Area: B6_28_ML_polar_RP_pos_01.raw (F9),Area: B6_32_ML_polar_RP_pos_01.raw (F10),Area: B6_33_ML_polar_RP_pos_01.raw (F11),Area: B6_34_ML_polar_RP_pos_01.raw (F12),Area: FVB_4_ML_polar_RP_pos_01.raw (F14),Area: FVB_5_ML_polar_RP_pos_01.raw (F15),Area: FVB_6_ML_polar_RP_pos_01.raw (F16),Area: FVB_17_ML_polar_RP_pos_01.raw (F17),Area: FVB_18_ML_polar_RP_pos_01.raw (F18),Area: FVB_19_ML_polar_RP_pos_01.raw (F19),Area: FVB_29_ML_polar_RP_pos_01.raw (F20),Area: FVB_30_ML_polar_RP_pos_01.raw (F21),Area: FVB_31_ML_polar_RP_pos_01.raw (F22),Area: FVB_35_ML_polar_RP_pos_01.raw (F23),Area: FVB_36_ML_polar_RP_pos_01.raw (F24),Area: FVB_37_ML_polar_RP_pos_01.raw (F25)
334.05648,2.676,64833116.6163711,44352825.396995,45851951.9504934,50328662.920322,25923573.596525,28376875.4162576,34985258.3179704,22527667.8079939,23561633.6753343,23792510.088815,30471422.2635258,18595115.1197412,34061502.8912726,34968473.4380788,37290629.1268436,26207501.0667116,24456524.9709604,25824928.6671848,20209014.0620042,26501164.9708124,26566816.0421094,24342980.633029,33590593.4271649,29743371.1654371
203.12702,2.493,11884227.9066019,7895464.96078683,7659365.74597344,5002852.72244977,8317118.33800612,4583919.38503867,11879202.141812,13806556.3473188,9125613.62669469,19640305.9455989,10399230.1081934,20571967.8717734,7289444.90339407,10574152.4432393,10202738.1749304,5956976.17094991,7688797.53184627,6361103.03751587,11786996.461644,13514498.2754102,12645846.7225743,11778121.6230791,24521089.0831755,15047020.2200092
359.1423,0.926,127481855.842403,192441809.609352,234798911.369845,339647485.229996,150970752.909011,308883820.530227,399379938.742624,606148656.616799,189839370.948894,263579429.943722,276963513.306262,404962634.548926,281330438.192409,188453786.86201,299070378.954846,265708854.463358,281095293.625852,198959560.432322,164940164.146524,176301718.18978,602838894.112818,258213733.970249,279182759.176139,267654607.273509
342.11588,0.929,125443975.74011,186553369.687509,229421564.339318,328302014.308537,136534384.52761,302905935.248157,386417363.432757,607801130.337269,177437284.885457,259562407.838392,259454666.763882,393393704.866891,274985868.229898,185214642.070608,290456116.797939,254076148.882403,275056611.788568,183006889.39018,155530755.256009,163499647.33247,591891408.946131,254552651.583189,276164670.303153,256898325.175879
211.09602,13.816,814064.636802838,1134989.30704587,1277645.69385251,1628406.49635405,1291635.99804139,1215496.11138353,1117304.78396447,1344616.40156996,1079361.58588979,1375738.14915914,1105771.1471223,1740739.51076464,1138695.87556702,1850141.27987278,1067228.39623043,1260388.38929965,1193688.66905916,1405557.63704278,1200498.45504255,1238955.47315537,1763693.1795352,1526380.18978668,1581690.20284381,1427763.55997996
211.09569,1.079,3309078.69810865,6229893.9964467,13976341.2374652,6035102.89271429,4387290.61444808,2407693.45010954,4339177.23989346,6301429.34652947,7395283.14630859,11304122.3504895,9761232.90281873,14757194.9981525,3910553.82516736,13670312.6190366,2018779.8543271,6094288.62453272,2493793.31904998,4263141.94911745,8797712.6835767,12232238.4008719,9103303.8821595,8718724.28274471,7749140.09012752,5961199.81301401
152.03347,3.54,31750731.9501742,32573112.1840101,37139662.9555958,41946310.1388352,29437070.4715668,93299388.6444504,70711167.2701319,55442143.9254701,112213530.164617,72013006.5645015,94402201.511501,90595265.4082343,26731163.6620598,30509485.9394194,37393373.592262,61183266.8370545,73514981.9118543,46296802.4988187,71331553.9965602,92443188.0053984,91855733.4840075,61626782.6936319,91506582.6533853,39111672.9176923
176.03218,3.054,1229344.8788561,3547178.17327488,3114525.50264095,2902001.22579947,2809727.82900788,2433532.15636571,2036739.88967674,2556193.20857345,1822859.83604658,2698898.18138177,3635549.84512453,2263291.26875594,3584230.01248237,1526425.49731224,2735508.18942944,2748834.60944579,1938367.39768719,1781777.66624013,1658754.97872226,3269470.30707321,1666893.52839834,2970533.47015237,3312305.59364815,3412011.5412916
309.12505,0.809,129501331.37289,59278811.6119122,19094144.5830127,327589132.123638,185615274.069427,339306364.979914,218764190.477284,133066182.600953,209610562.851407,134393150.640017,275694473.493014,141423961.589666,24687440.2701074,130731151.685701,47457720.5507569,309368895.941269,250196454.863528,394152270.862503,176768137.321203,219640696.094223,130468994.082628,95718909.3123589,200033872.502583,164943042.779258
230.1266,2.824,3870728.04977804,2584589.6260332,2732764.4077671,1795341.57776373,3008279.72307363,2753618.10620994,8015511.10506446,10973049.0825218,10877369.1847026,10969263.4732898,12222363.531654,10137892.6760242,1561310.19968561,1132459.07351048,2933233.55159293,2376240.04858988,3037735.92683302,1933108.02934774,8667204.75500081,10347117.704253,9575126.02947483,9180240.36657294,10806764.6880793,9797334.96536877
